Lif,Pow,Int,Ski,Spd,Def
8,7,8,0,0,0
0,0,8,7,8,0
8,7,0,0,8,0
8,0,8,7,0,0
0,7,8,0,8,0
0,7,8,0,0,7
0,0,8,7,0,7
8,7,0,0,0,7
0,7,0,0,8,7
0,7,8,7,0,0
0,0,8,0,6,7
6,0,0,7,8,0
6,0,8,0,0,7
8,5,8,0,0,0
0,0,8,0,8,5
6,0,0,0,8,7
8,0,6,7,0,0
8,0,0,5,8,0
6,0,0,0,8,7
8,0,6,7,0,0
8,0,0,7,6,0
8,0,6,0,0,7
8,5,0,7,0,0
0,0,0,5,8,7
6,0,0,7,0,7
0,7,6,0,0,7
6,7,0,7,0,0
0,7,0,5,8,0
0,0,8,7,0,5
8,0,0,5,0,7
0,7,0,0,8,5
6,7,0,0,0,7
0,7,8,0,0,5
8,5,0,7,0,0
8,7,0,5,0,0
0,0,0,7,8,5
8,7,4,0,0,0
0,0,8,0,4,7
0,0,8,0,8,3
8,0,0,3,8,0
6,5,8,0,0,0
0,0,6,0,8,5
0,7,6,0,6,0
0,0,6,5,8,0
8,5,0,0,6,0
6,0,0,0,8,5
8,0,6,5,0,0
6,7,6,0,0,0
0,0,6,0,6,7
0,0,6,7,6,0
6,7,0,0,6,0
8,0,0,0,4,7
4,0,8,7,0,0
8,3,0,7,0,0
0,0,0,3,8,7
0,7,8,0,0,3
0,5,0,0,6,7
0,7,6,5,0,0
8,0,0,3,0,7
0,0,0,5,8,5
0,7,0,5,6,0
0,0,6,7,0,5
0,5,8,0,0,5
8,5,0,5,0,0
0,0,4,5,8,0
8,5,0,0,4,0
6,0,0,3,8,0
6,3,8,0,0,0
0,0,6,0,8,3
0,5,8,0,4,0
0,0,4,0,8,5
8,0,0,5,4,0
0,0,6,3,8,0
6,0,0,0,4,7
4,0,6,7,0,0
6,0,6,0,0,5
0,0,6,5,6,0
4,0,0,7,6,0
6,7,0,0,4,0
8,0,0,5,4,0
4,5,8,0,0,0
0,7,4,0,6,0
6,0,0,0,4,7
8,5,4,0,0,0
0,0,8,0,4,5
0,5,8,0,0,3
0,0,6,7,0,3
6,3,0,0,0,7
0,7,6,3,0,0
6,0,0,7,0,3
0,0,0,3,6,7
0,0,0,5,4,7
0,7,0,3,6,0
0,0,6,7,0,3
0,7,4,5,0,0
0,0,0,5,8,3
6,5,0,0,0,5
0,7,4,0,0,5
4,5,0,7,0,0
0,3,6,7,0,0
0,0,0,7,6,3
8,3,4,0,0,0
0,0,8,0,4,3
8,0,0,3,4,0
6,3,0,0,6,0
6,0,6,0,0,3
4,5,0,0,6,0
0,3,6,0,6,0
6,0,0,0,6,3
8,3,4,0,0,0
0,0,8,0,4,3
4,0,0,5,6,0
6,5,4,0,0,0
0,3,8,0,0,3
0,5,0,3,6,0
0,0,6,5,0,3
4,3,0,7,0,0
0,0,0,3,4,7
0,7,4,0,0,3
0,7,0,3,4,0
0,5,0,5,4,0
0,0,4,5,0,5
4,0,0,5,0,5
0,5,0,0,4,5
0,3,6,0,0,5
6,5,0,0,0,3
0,3,0,5,6,0
0,0,0,5,4,5
0,5,4,0,0,5
6,0,0,3,0,5
0,5,0,0,6,3
0,0,6,3,4,0
4,3,0,0,6,0
4,0,6,3,0,0
0,0,6,0,4,3
4,0,4,0,0,5
0,0,4,5,4,0
0,0,4,0,6,3
4,0,0,3,6,0
4,0,4,5,0,0
0,0,4,0,4,5
6,3,0,3,0,0
0,3,0,3,6,0
0,5,4,0,0,3
4,3,0,5,0,0
4,3,0,0,0,5
0,5,0,0,4,3
0,3,4,5,0,0
0,0,0,5,4,3
0,5,4,0,0,3
0,3,0,0,6,3
0,3,6,3,0,0
6,3,0,3,0,0
0,3,4,0,0,5
4,5,0,3,0,0
4,0,0,3,4,0
4,0,0,3,4,0
4,3,4,0,0,0
4,3,4,0,0,0
0,0,4,0,4,3
0,3,4,0,0,3
4,3,0,3,0,0
0,0,0,3,4,3
0,0,0,3,4,3